Song,Artist,Popularity,BPM,Time,Dance,Energy,Acoustic,Happy,Live,Loud (Db),Camelot,Artist_Clean,Song_Clean,Genre Tags,lyrics,time_seconds,time_bucket
I Love Rock 'N Roll,Joan Jett & the Blackhearts,80,94,02:55,54,72,33,90,60,-5,12B,Joan Jett & the Blackhearts,I Love Rock 'N Roll,"rock, 80s, classic rock, female vocalists, hard rock","I saw him dancin' there by the record machine
I knew he musta been about seventeen
The beat was goin' strong
Playin' my favorite song

And I could tell it wouldn't be long
'Til he was with me, yeah, me
And I could tell it wouldn't be long
'Til he was with me, yeah, me, singin'

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me

He smiled, so I got up and asked for his name
""That don't matter,"" he said, ""'cause it's all the same""
Said, ""Can I take you home where we can be alone?""

And next we were movin' on
He was with me, yeah, me
Next we were movin' on
He was with me, yeah, me, singin'

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me


Said, ""Can I take you home where we can be alone?""
Next we were movin' on
He was with me, yeah, me
And we'll be movin' on and singin' that same old song
Yeah, with me, singin'

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me",175,170
Bette Davis Eyes,Kim Carnes,82,117,03:48,68,65,2,60,10,-10,7B,Kim Carnes,Bette Davis Eyes,"80s, pop, female vocalists, rock, kim carnes","Her hair is Harlow gold
Her lips sweet surprise
Her hands are never cold
She's got Bette Davis eyes

She'll turn her music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
She got Greta Garbo stand off sighs
She's got Bette Davis eyes

She'll let you take her home
It whets her appetite
She'll lay you on her throne
She got Bette Davis eyes

She'll take a tumble on you
Roll you like you were dice
Until you come up blue
She's got Bette Davis eyes

She'll expose you
When she snows you
Off your feet with the crumbs she throws you
She's ferocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

She'll tease you
She'll unease you
Just to please ya
She's got Bette Davis eyes
She'll expose you
When she snows you
She knows ya
She's got Bette Davis eyes",228,220
Fame,Irene Cara,2,131,05:16,70,73,13,96,10,-9,5A,Irene Cara,Fame,"80s, Disco, pop, Soundtrack, female vocalists","Baby, look at me
And tell me what you see
You ain't seen the best of me yet
Give me time, I'll make you forget the rest

I got more in me
And you can set it free
I can catch the moon in my hands
Don't you know who I am?
Remember my name

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my name

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)

Baby hold me tight
'Cause you can make it right
You can shoot me straight to the top
Give me love and take all I've got to give

Baby I'll be tough
Too much is not enough
I can ride your heart til it breaks
Oooh I got what it takes

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my name

(Remember, remember, remember, remember)
(Remember, remember, remember)

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my name

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)
Remember my name

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my...

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)

(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my...

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)
(Remember my name)

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven...",316,310
Self Control,Laura Branigan,80,107,04:06,81,69,22,78,10,-12,11A,Laura Branigan,Self Control,"80s, pop, female vocalists, dance, Disco","Oh, the night is my world
City light painted girl
In the day, nothing matters
It's the nighttime that flatters
In the night, no control
Through the wall something's breaking
Wearing white as you're walkin'
Down the street of my soul

You take my self, you take my self control
You got me livin' only for the night
Before the morning comes, the story's told
You take my self, you take my self control
Another night, another day goes by
I never stop myself to wonder why
You help me to forget to play my role
You take my self, you take my self control

I, I live among the creatures of the night
I haven't got the will to try and fight
Against a new tomorrow, so I guess I'll just believe it
That tomorrow never comes
A safe night (You take my self, you take my self control)
I'm living in the forest of a dream (You take my self, you take my self control)
I know the night is not as it would seem (You take my self, you take my self control)
I must believe in something, so I'll make myself believe it (You take my self, you take my self control)
This night will never go

Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh

Oh, the night is my world
City light painted girl
In the day, nothing matters
It's the nighttime that flatters

I, I live among the creatures of the night
I haven't got the will to try and fight
Against a new tomorrow, so I guess I'll just believe it
That tomorrow never comes
A safe night (You take my self, you take my self control)
I'm living in the forest of a dream (You take my self, you take my self control)
I know the night is not as it would seem (You take my self, you take my self control)
I must believe in something, so I'll make myself believe it (You take my self, you take my self control)
This night will never go

Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh
Oh-oh-oh

You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)",246,240
Englishman In New York,Sting,0,102,04:26,69,48,43,65,10,-13,11B,Sting,Englishman In New York,"80s, sting, rock, pop, classic rock","I don't drink coffee, I'll take tea my dear
I like my toast done on one side
And you can hear it in my accent when I talk
I'm an Englishman in New York

See me walking down Fifth Avenue
A walking cane here at my side
I take it everywhere I walk
I'm an Englishman in New York

Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York

If ""manners maketh man"" as someone said
Then he's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself, no matter what they say

Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York

Modesty, propriety, can lead to notoriety
You could end up as the only one
Gentleness, sobriety are rare in this society
At night a candle's brighter than the sun


Takes more than combat gear to make a man
Takes more than a license for a gun
Confront your enemies, avoid them when you can
A gentleman will walk but never run

If ""manners maketh man"" as someone said
Then he's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself, no matter what they say
Be yourself, no matter what they say
Be yourself, no matter what they say

Whoa
(Be yourself, no matter what they say)
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
(Be yourself, no matter what they say)
I'm an alien, I'm a legal alien
I'm an Englishman in New York

Whoa
I'm an alien, I'm a legal alien
(Be yourself, no matter what they say)
Whoa
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
(Be yourself, no matter what they say)
I'm an Englishman in New York",266,260
Kiss,Prince,77,111,03:46,90,27,1,74,0,-12,9B,Prince,Kiss,"80s, funk, pop, prince, dance","Uh!

You don't have to be beautiful to turn me on
I just need your body, baby, from dusk 'til dawn
You don't need experience to turn me out
You just leave it all up to me, I'm gonna show you what it's all about

You don't have to be rich to be my girl
You don't have to be cool to rule my world
Ain't no particular sign I'm more compatible with
I just want your extra time and your kiss

You got to not talk dirty, baby, if you wanna impress me
You can't be too flirty, mama, I know how to undress me, yeah
I want to be your fantasy, maybe you could be mine
You just leave it all up to me, we could have a good time, oh

You don't have to be rich to be my girl
You don't have to be cool to rule my world
Ain't no particular sign I'm more compatible with
I just want your extra time and your kiss

Yes, oh, I think I wanna dance, uh
Oh!
Gotta, gotta, oh
Little Girl Wendy's Parade
Gotta, gotta, gotta

Women, not girls, rule my world, I said they rule my world
Act your age, mama, not your shoe size, maybe we could do the twirl
You don't have to watch “Dynasty” to have an attitude, uh
You just leave it all up to me, my love will be your food

Yeah, you don't have to be rich to be my girl
You don't have to be cool to rule my world
Ain't no particular sign I'm compatible with
I just want your extra time and your kiss",226,220
Just Can't Get Enough,Depeche Mode,77,128,03:40,77,77,40,92,10,-9,8B,Depeche Mode,Just Can't Get Enough,"80s, new wave, synthpop, electronic, synth pop","When I'm with you, baby
I go out of my head
And I just can't get enough
And I just can't get enough
All the things you do to me
And everything you said
I just can't get enough
I just can't get enough

We slip and slide as we fall in love
And I just can't seem to get enough of

We walk together
We're walking down the street
And I just can't get enough
And I just can't get enough
Every time I think of you
I know we have to meet
And I just can't get enough
And I just can't get enough

It's getting hotter, it's a burning love
And I just can't seem to get enough of


I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough

And when it rains
You're shining down for me
And I just can't get enough
And I just can't get enough
Just like a rainbow
You know you set me free
And I just can't get enough
And I just can't get enough

You're like an angel and you give me your love
And I just can't seem to get enough of


I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough...",220,220
Wake Me Up Before You Go-Go,Wham!,3,81,03:50,62,76,19,88,10,-6,8B,Wham!,Wake Me Up Before You Go-Go,"80s, pop, dance, british, new wave","Jitterbug
Jitterbug
Jitterbug
Jitterbug

You put the boom boom into my heart
You send my soul sky high when your lovin' starts
Jitterbug into my brain (Yeah, yeah)
Goes a bang-bang-bang 'til my feet do the same

But something's buggin' me
Something ain't right
My best friend told me what you did last night
Left me sleepin' in my bed
I was dreamin' but I should've been with you instead

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin' on going solo
Wake me up before you go-go
Take me dancing tonight
I wanna hit that high
Yeah, yeah

You take the grey skies out of my way
You make the sun shine brighter than Doris Day
Turned a bright spark into a flame (Yeah, yeah)
My beats per minute never been the same

'Cause you're my lady, I'm your fool
It makes me crazy when you act so cruel
Come on, baby, let's not fight
We'll go dancing, everything will be all right

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin' on going solo
Wake me up before you go-go
Take me dancing tonight
I wanna hit that high
Yeah, yeah, yeah
Baby

Jitterbug
Jitterbug

Cuddle up, baby, move in tight
We'll go dancing tomorrow night
It's cold out there, but it's warm in bed
They can dance, we'll stay home instead
Jitterbug

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin' on going solo
Wake me up before you go-go
Take me dancing tonight
Wake me up before you go-go
(Don't you dare, to leave me hanging on like a yo-yo-yo-yo-yo)
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
(Take me dancing)
I don't wanna miss it when you hit that high
(A boom-boom-boom-boom, oh)
Wake me up before you go-go
'Cause I'm not plannin' on going solo
(A boom-boom-boom-boom, yeah, yeah, yeah!)
Wake me up before you go-go
Take me dancing tonight
Yeah, yeah",230,230
Like a Virgin,Madonna,73,120,03:38,77,66,15,97,0,-11,2A,Madonna,Like a Virgin,"pop, 80s, Madonna, dance, female vocalists","I made it through the wilderness
Somehow I made it through
Didn't know how lost I was
Until I found you
I was beat, incomplete
I'd been had, I was sad and blue
But you made me feel
Yeah, you made me feel
Shiny and new, hoo

Like a virgin
Touched for the very first time
Like a virgin
When your heart beats next to mine

Gonna give you all my love, boy
My fear is fadin' fast
Been savin' it all for you
'Cause only love can last
You're so fine and you're mine
Make me strong, yeah, you make me bold
Oh, your love thawed out
Yeah, your love thawed out
What was scared and cold

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Woah
Woah (Ah)
Woah

You're so fine and you're mine
I'll be yours 'til the end of time
'Cause you made me feel
Yeah, you made me feel
I've nothin' to hide

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Like a virgin
Ooh, like a virgin
Feels so good inside
When you hold me
And your heart beats
And you love me
Oh-oh, oh-oh
Oh-oh, oh-oh, oh
Ooh, baby
Yeah, can't you hear my heart beat
For the very first time?",218,210
Big in Japan,Alphaville,77,98,04:46,75,41,7,24,30,-15,7A,Alphaville,Big in Japan,"80s, pop, new wave, synthpop, synth pop","Winter's city side, crystal bits of snowflakes
All around my head and in the wind
I had no illusions that I'd ever find a glimpse of
Summer's heatwave in your eyes

You did what you did to me
Now, it's history I see
Here's my comeback on the road again
Things will happen while they can
I will wait here for my man tonight
It's easy when you're big in Japan

Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan

Neon on my naked skin
Passing silhouettes of strange illuminated mannequins
Shall I stay here at the zoo? Or should I go
And change my point of view for other ugly scenes?

You did what you did to me
Now, it's history, oh, you see
Things will happen while they can
I will wait here for my man tonight
It's easy when you're big in Japan

Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan


Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan",286,280
Boys Don't Cry,The Cure,54,170,02:34,46,60,2,74,10,-14,10A,The Cure,Boys Don't Cry,"80s, new wave, post-punk, alternative, rock","I would say I'm sorry
If I thought that it would change your mind
But I know that this time
I have said too much, been too unkind

I try to laugh about it
Cover it all up with lies
I try to laugh about it
Hiding the tears in my eyes
'Cause boys don't cry
Boys don't cry

I would break down at your feet
And beg forgiveness, plead with you
But I know that it's too late
And now there's nothing I can do

So I try to laugh about it
Cover it all up with lies
I try to laugh about it
Hiding the tears in my eyes
'Cause boys don't cry
Boys don't cry

I would tell you that I loved you
If I thought that you would stay
But I know that it's no use
That you've already gone away

Misjudged your limit
Pushed you too far
Took you for granted
I thought that you needed me more, more, more

Now I would do most anything
To get you back by my side
But I just keep on laughing
Hiding the tears in my eyes
'Cause boys don't cry
Boys don't cry

Boys don't cry",154,150
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,86,119,04:51,71,82,21,87,0,-9,3B,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),"80s, pop, dance, 1987, soul","Ah
Yeah, woo
Hey, yeah, ah
Ooh, yeah, uh-huh
Yeah
I wanna dance

Clock strikes upon the hour
And the sun begins to fade
Still enough time to figure out
How to chase my blues away

I've done alright up 'til now
It's the light of day that shows me how
And when the night falls
The loneliness calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

I've been in love and lost to my senses
Spinnin' through the town
Sooner or later, the fever ends
And I wind up feelin' down

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat
Yeah, I wanna dance with somebody
With somebody who loves me

Somebody who, somebody who
Somebody who loves me, yeah
Somebody who, somebody who
To hold me in his arms, oh

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Ooh, ooh (Dance)
Come on, baby (Dance)
Woo, yeah (Dance)
Now get with this, woah (Dance)
Don't you wanna dance (Dance) with me, baby?
Don't you wanna dance (Dance) with me, boy?
Hey, don't you wanna dance (Dance) with me, baby?
With somebody who loves me
Don't you wanna dance? Say you wanna dance
Don't you wanna dance? (Dance)
Don't you wanna dance? Say you wanna dance
Don't you wanna dance? (Dance)
Don't you wanna dance? Say you wanna dance
Uh-huh (Dance)
With somebody who loves me
Ooh, ooh (Dance)
Ooh, ooh (Dance)
Ooh, ooh (Dance)
Hey, baby
Don't you wanna love, don't you wanna love me?",291,290
Video Killed The Radio Star,The Buggles,73,131,04:12,68,68,10,25,20,-12,3B,The Buggles,Video Killed The Radio Star,"80s, pop, new wave, One Hit Wonders, electronic","I heard you on the wireless back in '52
Lying awake, intently tuning in on you
If I was young, it didn't stop you coming through
Oh-a oh-a
They took the credit for your second symphony
Rewritten by machine on new technology
And now I understand the problems you could see

Oh-a oh-a
I met your children
Oh-a oh-a
What did you tell them?

Video killed the radio star
Video killed the radio star
Pictures came and broke your heart
Oh-a-a-a-oh

And now we meet in an abandoned studio (Oh-a)
We hear the playback and it seems so long ago (Oh-oh-oh-oh-a)
And you remember the jingles used to go

Oh-a oh-a
You were the first one
Oh-a oh-a
You were the last one

Video killed the radio star
Video killed the radio star
In my mind and in my car
We can't rewind, we've gone too far
Oh-a-a-a-oh
Oh-a-a-a-oh

Video killed the radio star
Video killed the radio star
In my mind and in my car
We can't rewind, we've gone too far
Pictures came and broke your heart
Put the blame on VCR

You are a radio star
You are a radio star
(You are) Video killed the radio star (A, a radio star)
(A radio star) Video killed the radio star
(You are) Video killed the radio star (A, a radio star)
(A radio star) Video killed the radio star
(You are) Video killed the radio star (A, a radio star)
(A radio star) Video killed the radio star
(You are) Video killed the radio star (A, a radio star)
(A radio star) Video killed the radio star
(You are) Video killed the radio star (A, a radio star)
(A radio star) Video killed the radio star
(You are) Video killed the radio star (A, a radio star)
(A radio star) Video killed the radio star
(You are) Video killed the radio star",252,250
You Make My Dreams (Come True),Daryl Hall & John Oates,84,167,03:10,75,50,23,90,0,-12,7B,Daryl Hall & John Oates,You Make My Dreams (Come True),"pop, rock, 80s, pop rock, Blue-Eyed Soul","What I want
You've got and it might be hard to handle
But like a flame that burns the candle
The candle feeds the flame, yeah, yeah
What I've got
Full stock of thoughts and dreams that scatter
And you pull them all together
And, uh, how? I can't explain

Oh, yeah, well, well, you (Ooh-ooh, ooh-ooh-ooh)
You make my dreams come true
You (You, you, you, ooh-ooh-ooh, you)
Well, well, well, you (Ooh-ooh, ooh-ooh-ooh)
Oh, yeah, you make my dreams come true
(You, you, you, ooh-ooh-ooh, you) Well, yeah

On a night when bad dreams become a screamer
When they're messin' with the dreamer, I can laugh it in the face
Twist and shout my way out and wrap yourself around me
'Cause I, I ain't the way you found me and I'll never be the same

Oh, yeah, well, 'cause you (Ooh-ooh, ooh-ooh-ooh) Mm-hmm
You make my dreams come true
Oh, yeah (You, you, you, ooh-ooh-ooh, you)
Well, well, well, you (Ooh-ooh, ooh-ooh-ooh) Ooh-ooh
You make my dreams come true
(You, you, you, ooh-ooh-ooh, you) Oh, yeah
Well, listen to this
Ow


I'm down on my daydream
Oh, that sleepwalk should be over by now, I know

Well, you
Yeah-yeah
You make my dreams come true
Oh, yeah (You, you, you, ooh-ooh-ooh, you)

I've been waiting for, waiting for you, girl
(Ooh-ooh, ooh-ooh-ooh)
Oh, yeah, you make a-my dreams come true
(You, you, you, ooh-ooh-ooh, you)
Me, you, me, you, me
I've been waiting for, waiting for you, girl
(Ooh-ooh, ooh-ooh-ooh)
Oh, my, you makin' my dreams come true
(You) Oh (You, you, you, ooh-ooh-ooh, you)
Woah-ooh-woah, I've been waitin' for, waitin' for, waitin' for
(Ooh-ooh, ooh-ooh-ooh)
Waitin' for, waitin' for, waitin' for, waitin'
You make my dreams
(You, you, you, ooh-ooh-ooh, you)
Ooh ooh ooh ooh ooh ooh
Ooh ooh ooh ooh
I've been waitin' for you, girl
(Ooh-ooh, ooh-ooh-ooh)
You make my dreams
(You, you, you, ooh-ooh-ooh, you)",190,190
Never Gonna Give You Up,Rick Astley,11,113,03:33,72,94,12,91,10,-12,4B,Rick Astley,Never Gonna Give You Up,"80s, pop, Brutal Death Metal, rickroll, RICKROLLED","Desert you
Ooh-ooh-ooh-ooh
Hurt you

We're no strangers to love
You know the rules and so do I (Do I)
A full commitment's what I'm thinking of
You wouldn't get this from any other guy

I just wanna tell you how I'm feeling
Gotta make you understand

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

We've known each other for so long
Your heart's been aching, but you're too shy to say it (To say it)
Inside, we both know what's been going on (Going on)
We know the game, and we're gonna play it

And if you ask me how I'm feeling
Don't tell me you're too blind to see

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

Ooh (Give you up)
Ooh-ooh (Give you up)
Ooh-ooh
Never gonna give, never gonna give (Give you up)
Ooh-ooh
Never gonna give, never gonna give (Give you up)

We've known each other for so long
Your heart's been aching, but you're too shy to say it (To say it)
Inside, we both know what's been going on (Going on)
We know the game, and we're gonna play it

I just wanna tell you how I'm feeling
Gotta make you understand

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you",213,210
