Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Live,Loud,Camelot,Lyrics,Time,Genre,Subgenre
The Ocean (feat. Shy Martin),"Mike Perry,shy martin",70,90,63,57,2,19,10,-6,7B,"You can be my guiding light
Keep me company in the night
That's all I need, all I want
Is for you to stay a little longer now
With arms around me, like a border
Like the air I breathe, I let you in
Keep me warm underneath my skin
Cause I'm

Giving in to your touch
I can never get enough
Diving deep into the ocean

Ocean
Ocean
Ocean

You can be my safety zone
Somewhere I can go when I feel alone
That's all I need, all I want
Is to stay a little longer now
Arms around me like a border
Like an endless stream
You take me in
To a place that I've never been
Now I'm

Giving in to your touch
I will never get enough
Diving deep into the ocean

Ocean
Ocean
Ocean",183,dance,dance
Tangled up in Blue,Bob Dylan,64,101,42,66,41,55,10,-13,11B,"Early one morning the sun was shining
I was laying in bed
Wondering if she'd changed at all
If her hair was still red
Her folks they said our lives together
Sure was going to be rough
They never did like Mama's homemade dress
Papa's bankbook wasn't big enough
And I was standing on the side of the road
Rain falling on my shoes
Heading out for the East Coast
Lord knows I've paid some dues
Getting through
Tangled up in blue

She was married when we first met
Soon to be divorced
I helped her out of a jam, I guess
But I used a little too much force
We drove that car as far as we could
Abandoned it out west
Split up on a dark sad night
Both agreeing it was best
She turned around to look at me
As I was walking away
I heard her say over my shoulder
""We'll meet again someday
On the avenue""
Tangled up in blue

I had a job in the great north woods
Working as a cook for a spell
But I never did like it all that much
And one day the ax just fell
So I drifted down to New Orleans
Where I lucky was to be employed
Working for a while on a fishing boat
Right outside of Delacroix
But all the while I was alone
The past was close behind
I seen a lot of women
But she never escaped my mind
And I just grew
Tangled up in blue

She was working in a topless place
And I stopped in for a beer
I just kept looking at the side of her face
In the spotlight, so clear
And later on, when the crowd thinned out
I was just about to do the same
She was standing there, in back of my chair
Said, ""Tell me, don't I know your name?""
I muttered something underneath my breath
She studied the lines on my face
I must admit, I felt a little uneasy
When she bent down to tie the laces
Of my shoe
Tangled up in blue

She lit a burner on the stove
And offered me a pipe
""I thought you'd never say hello,"" she said
""You look like the silent type""
Then she opened up a book of poems
And handed it to me
Written by an Italian poet
From the thirteenth century
And every one of them words rang true
And glowed like burning coal
Pouring off of every page
Like it was written in my soul
From me to you
Tangled up in blue

I lived with them on Montague Street
In a basement down the stairs
There was music in the cafes at night
And revolution in the air
Then he started into dealing with slaves
And something inside of him died
She had to sell everything she owned
And froze up inside
And when it finally, the bottom fell out
I became withdrawn
The only thing I knew how to do
Was to keep on keeping on
Like a bird that flew
Tangled up in blue

So now I'm going back again
I got to get to her somehow
All the people we used to know
They're an illusion to me now
Some are mathematicians
Some are carpenter's wives
Don't know how it all got started
I don't know what they're doing with their lives
But me, I'm still on the road
A-heading for another joint
We always did feel the same
We just saw it from a different point
Of view
Tangled up in blue",341,folk,folk rock
Good Days,SZA,78,121,44,66,50,41,60,-8,12A,"Good day in my mind, safe to take a step out
Get some air now, let yo' edge out
Too soon, I spoke
You be heavy in my mind, can you get the heck out?
I need rest now, got me bummed out
You so, you so, you
Baby, baby, babe
I've been on my empty mind shit

I try to keep from losin' the rest of me
I worry that I wasted the best of me on you, babe
You don't care
Said, ""Not tryna be a nuisance, this is urgent""
Tryna make sense of loose change
Got me a war in my mind
Gotta let go of weight, can't keep what's holdin' me
Choose to watch while the world break up in front of me

All the while, I'll await my armored fate with a smile
Still wanna try, still believe in
Good days, good days, always
Always inside (Always in my mind, always in my mind, mind)
Good day living in my mind

Tell me I'm not my fears, my limitations
I disappear if you let me
Feelin' like, yeah (On your own)
Feelin' like Jericho
Feelin' like Job when he lost his shit
Gotta hold my own, my cross to bear alone, I
Ooh, played and dipped, way to kill the mood
Know you like that shit
Can't groove it, ba-baby
Heavy on my empty mind shit

I gotta keep from losin' the rest of me (Rest of me)
Still worry that I wasted the best of me on you, babe
You don't care
Said, ""Not tryna be a nuisance, this is urgent"" (It's urgent)
Tryna make sense of loose change
Got me a war in my mind (My mind)
Gotta let go of weight, can't keep what's holdin' me
Choose to watch while the world break up in front of me

All the while, I'll await my armored fate with a smile
Still wanna try, still believe in
Good days, good days, always (Good days on my mind, good days on my mind)
Sunny inside (Always in my mind, always in my mind, mind)
Good day living in my mind

Gotta get right
Tryna free my mind before the end of the world
I don't miss no ex, I don't miss no text
I choose not to respond
I don't regret, just pretend shit never happened
Half of us layin' waste to our youth, it's in the present
(Na-na, na-na, na-na, na)
Half of us chasin' fountains of youth and it's in the present now

Always in my mind, always in my mind, mind
You've been making me feel like I'm
Always in my mind, always in my mind, mind",279,alternative,alternative rnb
Wonder,Shawn Mendes,71,140,33,64,13,13,10,-5,12A,"I wonder if I'm being real
Do I speak my truth or do I filter how I feel?
I wonder, wouldn't it be nice
To live inside a world that isn't black and white?
I wonder what it's like to be my friends
Hope that they don't think I'll forget about them
I wonder, I wonder

Right before I close my eyes
The only thing that's on my mind
Been dreamin' that you feel it too
I wonder what it's like to be loved by you, yeah
I wonder what it's like
I wonder what it's like to be loved by

I wonder why I'm so afraid
Of saying something wrong, I never said I was a saint
I wonder, when I cry into my hands
I'm conditioned to feel like it makes me less of a man
And I wonder if someday you'll be by my side
And tell me that the world will end up alright
I wonder, I wonder

Right before I close my eyes
The only thing that's on my mind
Been dreamin' that you feel it too
I wonder what it's like to be loved by you, yeah
I wonder what it's like
I wonder what it's like to be loved by you

I wonder what it's like to be loved by you, yeah
I wonder what it's like to be loved by you
I wonder what it's like to be loved by—

Right before I close my eyes
The only thing that's on my mind
Been dreamin' that you feel it too
I wonder what it's like to be loved by you",172,pop,pop
Biking,"Frank Ocean,JAY-Z,Tyler, The Creator",70,148,67,46,68,27,0,-7,10B,"Uh, turn, what goes around comes around
Ayy, turn, turn the music up, uh, yeah
Goes around comes around
What goes, alright, like like
Life goes in cycles
Everything that comes around goes around
'Fore it goes down, get you some ice

Life goes in cycles, what comes around goes around
So ’fore it goes down, nigga, get you some icicles
Audemars before all of y'alls
Wristwatch got a Russian face like an oligarch, uh
12 o'clock, boy, silly nice, huh
Willie in traffic, I’m Philly nice, uh
E.T. on the handles, uh
Handlebars like a Xanax
Shammgod with the AND1 moves
Throw that shit 'round your neck
Right quick, broke boys get fixed
Right quick, Nigel Sylvester with these bike flips
Uh, that's a full cab and a back flip
Uh, sidebar

Arm stretch a tee like I nailed it
Raf movin' slow like a creep
Shirt in the breeze like I'm sailin'
And I walk in my sleep, I can't help that (I can't)
When’s the last time I asked for some help that
I couldn’t get from nobody else, yeah?
I couldn't get from nobody out there (I can’t)
When's the last time I asked for some help that
I couldn't get from nobody else, yeah?
Nobody

I don't get weak in the knees
Hundreds spread out like a fan
Vert feel like some Gucci sandals
Open the sky, get a handful
Torso marked up like a vandal
How you not fuckin’ with cash?
God gave you what you could handle
Gave you what you could handle
I got the grip like the handle
And I'm bikin'
I'm bikin' with me and my Daniel
Hades got the angels
TV's got the angles
I'm brakin'… got…

Bikin', I'm bikin', I'm bikin' slow-mo
Maybe the four wheel excitin' us mo'
I'm cold when the temperatures dip below 70s
How can I be burr around L.A. coast?
The diamonds is plural, the Tiffany brooch
On my lapel, at the table, I'm givin' a toast
The first wedding that I've been in my twenties
Thinkin' maybe someone is not somethin' to own
Maybe the government got nothin' to do with it
Thinkin' maybe the feeling just comes and it goes
Think I want me a lil' one that look like my clone
Me and my baby can't do on our own
I landed a trick, got my impossibles
I'm fuckin' with Addy, I'm watchin' my dose
24 hours like they never close
I'm bikin', I'm bikin', I'm bikin' these blocks, yeah
Since Ben Baller sold all his ice up at Slauson, ooh
I'm bikin' uphill and it's burnin' my quads (Obstacles)
I'm bikin' downhill and it sound like a fishin' rod
Savage, I'm bikin', yeah

From Coldwater to the Shaw
Alcoholic way I handle the bars
This a PK, PK Ripper
Nah, you can't fuck with the boy
That's my problem, yeah, I got 'em
My tire smokin' when I stop
Okay, nobody fuckin' with me
My accolades hang from my neck
Pedal, I drown in the heat
My sapphires drown in my sweat
White mags, but I jet
Jackson, I'm savin' the streets
I'm Roger Rabbit in the air
I don't care, Big Willie Style, yeah
Nigga one wheel, one wheel, one wheel
Nigga one wheel, I fishtail downhill, yeah
I rose my rate, brand new brakes
Why I name it Slater? Ask my date

I don't get weak in the knees
Hundreds spread out like a fan
Vert feel like some Gucci sandals
Open the sky, get a handful
Torso marked up like a vandal
How you not fuckin' with cash?
God gave you what you could handle
Gave you what you could handle
I got the grip like the handle
And I'm bikin'
I'm bikin' with me and my Daniel
Hades got the angels
TV's got the angles
I'm brakin'

Got, got me fucked up
Got a million dollar bike
Got a million dollar bike
Got, got me fucked up
Got me fucked up, up
Million dollar bike
Got, got me fucked up, up
Million dollar bike
Got, got me fucked up
Got a million dollar bike
Got a million dollar bike
Got, got me fucked up
Got me fucked up, up
Million dollar bike
Got, got me fucked up, up
Million dollar bike",277,rnb,rnb hip hop
THREAT,Rex Orange County,50,118,67,40,53,62,10,-14,10B,"I hope he's not a threat to me
But I'm still gonna feel it
I don't believe it
I can't achieve it
I hope he's not a threat to me
But I'm still gonna feel it
I don't believe it
I can't achieve it
I hope he's not a threat to me

We could wait for weeks
I'm gonna be right here overthinking through
I could be the only one
But I might not be him and it drives me too wild
I'm thinking of a man much more than I

Waking up fast in the morning
Summertime, meet me in the garden, somewhere I
I'ma be honest, I don't wanna keep you in a boring life
I can pick up when you're calling
Keep it real with you always
We can take it real slow now
I can speed it up, oh
There's different people here now
(There's different people here now)

I hope he's not a threat to me
But I'm still gonna feel it
I don't believe it
I can't achieve it
I hope he's not a threat to me
But I'm still gonna feel it
I don't believe it
I can't achieve it
I hope he's not a threat to me

(To me)
Oh, yeah

We could wait for weeks
I'm gonna be right here overthinking through
I could be the only one
But I might not be him and it drives me too wild
I'm thinking of a man much more than I

Waking up fast in the morning
Summertime, meet me in the garden, somewhere I
I'ma be honest, I don't wanna keep you in a boring life
I can pick up when you're calling
Keep it real with you always
We can take it real slow now
I can speed it up, oh
There's different people here now
(There's different people here now)
Waking up fast in the morning
Summertime, meet me in the garden, somewhere I
I'ma be honest, I don't wanna keep you in a boring life
I can pick up when you're calling
Keep it real with you always
We can take it real slow now

I hope he's not a threat to me
But I'm still gonna feel it
I don't believe it
I can't achieve it
I hope he's not a threat to me
But I'm still gonna feel it
I don't believe it
I can't achieve it",170,indie,indie pop
Saturn,SZA,83,178,41,62,62,34,10,-7,3B,"If there's another universe
Please make some noise (Noise)
Give me a sign (Sign)
This can't be life
If there's a point to losing love
Repeating pain (Why?)
It's all the same (Same)
I hate this place
Stuck in this paradigm
Don't believe in paradise
This must be what Hell is like
There's got to be more, got to be more
Sick of this head of mine
Intrusive thoughts, they paralyzе
Nirvana's not as advertised
Therе's got to be more, been here before

Ooh (Ooh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh (Ooh, ooh)
Find something worth saving
It's all for the taking
I always say

I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh

If karma's really real
How am I still here?
Just seems so unfair
I could be wrong though
If there's a point to being good
Then where's my reward?
The good die young and poor
I gave it all I could

Stuck in this terradome (Ooh)
All I see is terrible (Ooh)
Making us hysterical (Ooh)
There's got to be more, got to be more
Sick of this head of mine (Ooh)
Intrusive thoughts, they paralyze (Ooh)
Nirvana's not as advertised (Ooh)
There's got to be more, been here before

Ooh (Ooh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh (Ooh, ooh)
Find something worth saving
It's all for the taking
I always say

I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh

(Ooh, ooh, ooh)
(Ooh, ooh, ooh)",186,alternative,alternative rnb
Karma,Summer Walker,74,114,59,29,35,15,20,-10,12A,"I told you, you better stay prayed up
You never thought the universe be looking for revenge

You can't keep just doing them girls like that
Thinking that nobody finna bite back
Losing your mind baby
Can't be sure, time's wasting

Nice to meet you, I'm sorry
I'm just here to do my job
Nice to meet you, no running
Please don't fear me, I'm just karma

Let me dance for you, I'm sorry
You'll wanna love me strong, then I'm gone
This feeling's just for you and your wrongs
I am just here to do my job
Devil in disguise, oh
Dressed in all white, swear you so down
Think I'm supposed to ride, oh
You done told me I should be the only one around
Talking 'bout you'll make it my way
Made it my-, made it my way
Think I gotta run, boy, you don't wanna be telling me
Take me to your momma house
I'm sorry if you never doubted me
But you should've doubted
('Cause I told you, yeah)

'Cause, don't you know you can't be doing them girls like that?
Thinking that nobody finna bite back
Losing your mind baby
Can't be sure, time's wasting

Nice to meet you, I'm sorry
I'm just here to do my job
Nice to meet you, then sudden
I reveal you, I'm just karma

Let me dance for you, I'm sorry
Do you wanna love me strong, then I'm gone
This feeling, what we have, then it stops
I am just here to do my job
Do my job, oh-oh, yeah
Do my job

Oh woah, oh oh oh
Oh woah, oh oh oh
Oh woah, oh oh oh
Yeah, yeah, oh",188,alternative,alternative rnb
ATLiens,Outkast,72,97,92,73,3,61,10,-3,10A,"Yeah, uh, East Point, smokes some dank
College Park in the house
Decatur
Uh, Old National got the skanks
Everybody, uh, know what I'm sayin'
Check it

Check it
Well it's the M-I-crooked letter, ain't no one better
And when I'm on the microphone you best to wear your sweater
'Cause I'm cooler than a polar bear's toenails
""Oh hell, there he go again talking that shit""
Bend corners like I was a curve, I struck a nerve
And now you 'bout to see this Southern playa serve
I heard it's not where you're from but where you pay rent
Then I heard it's not what you make but how much you spent
You got me bent like elbows, amongst other things, but I'm not worried
'Cause when we step up in the party; like a mouse, you scurry
So go get your fucking shine box and your sack of nickels
It tickles to see you try to be like Mr. Pickles
Daddy Fat Sax, B-I-G B-O-I
Is that same motherfucker that took them knuckles to your eye
And I try to warn you not to test but you don't listen
Giving a shoutout to my Uncle Darnell locked up in prison

Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""

Now, my oral illustration be like clitoral stimulation
To the female gender, ain't nothing better
Let me know when it's wet enough to enter
If not I'll wait, because the future of the world depends on
If or if not the child we raise gon' have that nigga syndrome
Or will it know to beat the odds regardless of its skin tone?
Or will it feel that if we tune it, it just might get picked on?
Or will it give a fuck about what others say and get gone?
They alienate us 'cause we different keep your hands to the sky
Like Sounds of Blackness when I practice what I preach ain't no lie
I'll be the baker and the maker of the piece of my pie
Now breaker, breaker 10-4 can I get some reply?
Now everybody say

Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""

Every day I sit while my nigga be in school
Thinking about the second album at The Dungeon shooting pool
Like E-S to the P-N, cause we adjust to the beat in the zone (zone)
Honey, I'm home but I'm not married
Carried a lot of problems around being frustrated
And now I'm sitting at the end of the month I just made it
Like you made the B team, and like your daddy's wife be making that coffee
You heard the ATLiens, so back the hell up off me

Softly as if I played piano in the dark
Found a way to channel my anger now to embark
The world's a stage and everybody gots to play their part
God works in mysterious ways, so when He starts
The job of speaking through us, we be so sincere with this here
No drugs or alcohol so I can get the signal clear as day
Put my Glock away, I got a stronger weapon
That never runs out of ammunition, so I'm ready for war, okay

Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""",230,hip hop,hip hop 90s
Lose You,Drake,65,90,53,58,70,38,30,-9,12B,"I don't care what society thinks. They're nothing anyway. They're no better than me. Out there you just have to fit into a pattern that somebody's already laid out for you. Life we live, you have to set your own patterns, your own ideals. You have to handle the whole job yourself (Yeah)

No snow tires, the Range slip-slide like Trick Daddy and Trina
Oli North pull in, like, 10 million a season
Queen Street visions that nobody believed in
If we not on the charts, my XO niggas eatin'
Fifty-two consecutive weekends, shout out to Weeknd
The city gets stronger when everybody is speakin'
Not when everybody out here beefin'
We got it, now we just gotta keep it
America's most wanted, man, I'm still on the run
All these number ones and we still not the ones
No hard feelings, but I'll still get you spun
Went and got diplomas and we still goin' dumb
Please never label niggas who lay down for a livin'
My competition, it's beyond offensive
I'm in it for the glory, not the honor mention
Not tryna be fourth and inches, I'm tryna go the distance
Yeah, distance, I'm on a different mission
This the remix to ""Ignition,"" hot and fresh out the kitchen
How you forget to fill up with gas on the road to riches?
Too overly ambitious, too late to fix it
Too late for condolences when it's over with
I need to start sayin' shit when I notice it
Be open with people I need some closure with
Be honest with myself and take ownership
Opinions started to burn when tables started to turn
I really used to feel like they loved a nigga at first
Excitin' times, revitalized
Trust this little light of mine is gonna shine positively
I'm just takin' what God will give me
Grateful like Jerry, Bob and Mickey
Better attitude, we'll see where it gets me
I know catchin' flies with honey is still sticky
I wrote the book on world-class finesses
And tasteful gestures and makin' efforts
And never placin' second
And even better knowin' you're first but then takin' second
Inspirin' and never takin' credit
I know I deserve more, I just never said it
Two middle fingers as I make a exit, yeah

Did I lose you?
Did I? Did I?
Did I lose you?
Did I? Did I?
Did I lose you?

Winnin' is problematic
People like you more when you workin' towards somethin'
Not when you have it
Way less support from my peers
In recent years as I get established
Unforgivin' times, but fuck it, I manage
Why is my struggle different than others'?
Only child that’s takin' care of his mother
As health worsens and bills double
That’s not respectable all of a sudden?
I don’t get a pat on the back for the come up?
What do you see when you see me?
When did all the things I mean
From the bottom of my heart start to lose meaning?
Maybe I share it with too many people
Back then it used to just feel like our secret
Back when I would write and not think about how they receive it
I be tryna manifest the things I needed
And look, now, I mean, it's hard to believe it even for me
But you're mindful of it all when your mind full of it all
How they go from not wantin' me at all
To wantin' to see me lose it all?
Things get dark, but my aura just starts glowin'
I'm overcome with emotions
Ones I can't access when I'm stoned sober
Jealous ones still envy and niggas turn king cobra
I could only speak what I know of
Man, we wrote the book on calculated thinkin'
And icy Heineken drinkin', and rival neighborhoods linkin'
And puttin' your trust in someone with the risk of financially sinkin'
All you did was write the book on garbage-ass Rollies
Ego strokin', picture postin'
Claimin' that you'd do it for motivational purposes only
But you just had to show me
See, I know, 'cause I study you closely
I know when someone lyin'
I notice people standin' for nothin' and gettin' tired
I know what we're both thinkin' even when you're quiet
Sometimes I gotta just make sure that I didn't lose you

Did I? Did I?
Did I lose you?
Did I? Did I?
Did I lose you?

This is the 6’s year
Six hundreds instead of six, OVO
You know we’ll be rockin' our asses out
To my big brother Drizzy
You know what I’m sayin'?
More Life, 6 to the world, gang shit",305,alternative,alternative rnb
Till I Collapse,"Eminem,Nate Dogg",86,171,55,85,6,10,0,-3,3B,"(Yo, left, yo, left) 'Cause sometimes you just feel tired
(Yo, left, right, left) Feel weak, and when you feel weak
(Yo, left, yo, left) You feel like you wanna just give up
(Yo, left, right, left) But you gotta search within you
(Yo, left, yo, left) Try to find that inner strength and just pull that shit out of you
(Yo, left, right, left) And get that motivation to not give up
(Yo, left, yo, left) And not be a quitter
(Yo, left, right, left) No matter how bad you wanna just fall flat on your face and collapse

'Til I collapse, I'm spillin' these raps long as you feel 'em
'Til the day that I drop, you'll never say that I'm not killin' 'em
'Cause when I am not, then I'ma stop pennin' 'em
And I am not hip-hop and I'm just not Eminem
Subliminal thoughts, when I'ma stop sendin' 'em?
Women are caught in webs, spin 'em and hock venom
Adrenaline shots of penicillin could not get the illin' to stop
Amoxicillin's just not real enough
The criminal, cop-killin', hip-hop villain
A minimal swap to cop millions of Pac listeners
You're comin' with me, feel it or not
You're gonna fear it like I showed ya the spirit of God lives in us
You hear it a lot, lyrics to shock
Is it a miracle or am I just product of pop fizzin' up?
Fa' shizzle, my wizzle, this is the plot, listen up
You bizzles forgot, Slizzle does not give a fuck

'Til the roof comes off, 'til the lights go out
'Til my legs give out, can't shut my mouth
'Til the smoke clears out, am I high? Perhaps
I'ma rip this shit 'til my bones collapse
'Til the roof comes off, 'til the lights go out ('Til the roof, until the roof)
'Til my legs give out, can't shut my mouth (The roof comes off, the roof comes off)
'Til the smoke clears out, am I high? Perhaps ('Til my legs, until my legs)
I'ma rip this shit 'til my bones collapse (Give out from underneath me)

Music is like magic, there's a certain feelin' you get
When you real and you spit, and people are feelin' your shit
This is your moment, and every single minute you spend
Tryna hold on to it, 'cause you may never get it again
So while you're in it, try to get as much shit as you can
And when your run is over, just admit when it's at its end
'Cause I'm at the end of my wits with half the shit that gets in
I got a list, here's the order of my list that it's in
It goes: Reggie, JAY-Z, 2Pac and Biggie
André from OutKast, Jada, Kurupt, Nas, and then me
But in this industry I'm the cause of a lot of envy
So when I'm not put on this list, the shit does not offend me
That's why you see me walk around like nothing's botherin' me
Even though half you people got a fuckin' problem with me
You hate it, but you know respect you got to give me
The press's wet dream, like Bobby and Whitney—Nate, hit me!

'Til the roof comes off, 'til the lights go out
'Til my legs give out, can't shut my mouth
'Til the smoke clears out, am I high? Perhaps
I'ma rip this shit 'til my bones collapse
'Til the roof comes off, 'til the lights go out ('Til the roof, until the roof)
'Til my legs give out, can't shut my mouth (The roof comes off, the roof comes off)
'Til the smoke clears out, am I high? Perhaps ('Til my legs, until my legs)
I'ma rip this shit 'til my bones collapse (Give out from underneath me)

Soon as a verse starts, I eat at an MC's heart
What is he thinking? How not to go against me, smart
And it's absurd how people hang on every word
I'll prob'ly never get the props I feel I ever deserve
But I'll never be served, my spot is forever reserved
If I ever leave Earth, that would be the death of me first
'Cause in my heart of hearts I know nothin' could ever be worse
That's why I'm clever when I put together every verse
My thoughts are sporadic, I act like I'm an addict
I rap like I'm addicted to smack like I'm Kim Mathers
But I don't wanna go forth and back in constant battles
The fact is I would rather sit back and bomb some rappers
So this is like a full-blown attack I'm launchin' at 'em
The track is on some battlin' raps, who wants some static?
'Cause I don't really think that the fact that I'm Slim matters
A plaque and platinum status is wack if I'm not the baddest, so

'Til the roof comes off, 'til the lights go out
'Til my legs give out, can't shut my mouth
'Til the smoke clears out, am I high? Perhaps
I'ma rip this shit 'til my bones collapse
'Til the roof comes off, 'til the lights go out ('Til the roof, until the roof)
'Til my legs give out, can't shut my mouth (The roof comes off, the roof comes off)
'Til the smoke clears out, am I high? Perhaps ('Til my legs, until my legs)
I'ma rip this shit 'til my bones collapse (Give out from underneath me)

Until the roof, until the roof
The roof comes off, the roof comes off
Until my legs, until my legs
Give out from underneath me, I
I will not fall, I will stand tall
Feels like no one can beat me",297,hip hop,hip hop
